dspb,dnase,prok,degrade,reaction_time
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21644133774224594,12
0.25,0.25,0.5,0.21644133774224594,12
0.25,0.25,0.5,0.16956175965844877,12
0.25,0.25,0.5,0.1762588422418484,12
0.25,0.25,0.5,0.1762588422418484,12
0.25,0.25,0.5,0.1762588422418484,12
0.25,0.25,0.5,0.16286467707504915,12
0.25,0.25,0.5,0.18295592482524803,12
0.25,0.25,0.5,0.18965300740864766,12
0.5,0.25,0.25,0.24992675065924408,12
0.5,0.25,0.25,0.20974425515884643,12
0.5,0.25,0.25,0.2298355029090452,12
0.5,0.25,0.25,0.20974425515884643,12
0.5,0.25,0.25,0.2298355029090452,12
0.5,0.25,0.25,0.19635008999204728,12
0.5,0.25,0.25,0.24322966807584445,12
0.5,0.25,0.25,0.24992675065924408,12
0.25,0.5,0.25,0.24322966807584445,12
0.25,0.5,0.25,0.22313842032564557,12
0.25,0.5,0.25,0.2298355029090452,12
0.25,0.5,0.25,0.27001799840944285,12
0.25,0.5,0.25,0.23653258549244482,12
0.25,0.5,0.25,0.1762588422418484,12
0.25,0.5,0.25,0.2298355029090452,12
0.25,0.5,0.25,0.2566238332426437,12
0.0,0.0,1.0,0.1227938415321066,24
0.0,0.0,1.0,0.11678558017273755,24
0.0,0.0,1.0,0.0927525347352609,24
0.0,0.0,1.0,0.0927525347352609,24
0.0,0.0,1.0,0.038678182500938685,24
0.0,0.0,1.0,0.0927525347352609,24
0.0,0.0,1.0,0.0927525347352609,24
0.0,0.0,1.0,0.10476905745399923,24
1.0,0.0,0.0,0.22493428464138188,24
1.0,0.0,0.0,0.25497559143822757,24
1.0,0.0,0.0,0.19489297784453619,24
1.0,0.0,0.0,0.23695080736012009,24
1.0,0.0,0.0,0.12880210289147576,24
1.0,0.0,0.0,0.23695080736012009,24
1.0,0.0,0.0,0.23094254600075093,24
1.0,0.0,0.0,0.1768681937664287,24
0.0,1.0,0.0,0.23094254600075093,24
0.0,1.0,0.0,0.2489673300788584,24
0.0,1.0,0.0,0.23094254600075093,24
0.0,1.0,0.0,0.2609838527975966,24
0.0,1.0,0.0,0.18888471648516703,24
0.0,1.0,0.0,0.2069095005632744,24
0.0,1.0,0.0,0.2790086368757041,24
0.0,1.0,0.0,0.11077731881336839,24
0.5,0.0,0.5,0.23094254600075093,24
0.5,0.0,0.5,0.20090123920390524,24
0.5,0.0,0.5,0.23094254600075093,24
0.5,0.0,0.5,0.22493428464138188,24
0.5,0.0,0.5,0.2489673300788584,24
0.5,0.0,0.5,0.23094254600075093,24
0.5,0.0,0.5,0.2669921141569658,24
0.5,0.0,0.5,0.15884340968832134,24
0.0,0.5,0.5,0.23094254600075093,24
0.0,0.5,0.5,0.321066466391288,24
0.0,0.5,0.5,0.24295906871948925,24
0.0,0.5,0.5,0.25497559143822757,24
0.0,0.5,0.5,0.22493428464138188,24
0.0,0.5,0.5,0.25497559143822757,24
0.0,0.5,0.5,0.28501689823507326,24
0.0,0.5,0.5,0.22493428464138188,24
0.5,0.5,0.0,0.10476905745399923,24
0.5,0.5,0.0,0.27300037551633494,24
0.5,0.5,0.0,0.24295906871948925,24
0.5,0.5,0.0,0.2669921141569658,24
0.5,0.5,0.0,0.22493428464138188,24
0.5,0.5,0.0,0.21892602328201272,24
0.5,0.5,0.0,0.2609838527975966,24
0.5,0.5,0.0,0.23695080736012009,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2489673300788584,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32707472775065705,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2790086368757041,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25497559143822757,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2669921141569658,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2790086368757041,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29703342095381136,24
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25497559143822757,24
0.25,0.25,0.5,0.23695080736012009,24
0.25,0.25,0.5,0.25497559143822757,24
0.25,0.25,0.5,0.25497559143822757,24
0.25,0.25,0.5,0.27300037551633494,24
0.25,0.25,0.5,0.25497559143822757,24
0.25,0.25,0.5,0.4051821254224558,24
0.25,0.25,0.5,0.48328952309425466,24
0.25,0.25,0.5,0.48328952309425466,24
0.5,0.25,0.25,0.3090499436725497,24
0.5,0.25,0.25,0.2910251595944423,24
0.5,0.25,0.25,0.25497559143822757,24
0.5,0.25,0.25,0.2669921141569658,24
0.5,0.25,0.25,0.2669921141569658,24
0.5,0.25,0.25,0.29703342095381136,24
0.5,0.25,0.25,0.2910251595944423,24
0.5,0.25,0.25,0.28501689823507326,24
0.25,0.5,0.25,0.2669921141569658,24
